 1.111	 0.195	-1.072	-0.219
 1.037	 0.235	-0.998	-0.156
 0.985	 0.287	-0.924	-0.187
 1.019	 0.191	-0.986	-0.172
 1.053	 0.234	-1.014	-0.160
 1.032	 0.242	-0.989	-0.164
 1.001	 0.237	-0.955	-0.187
 1.025	 0.240	-0.982	-0.169
 1.046	 0.223	-1.005	-0.183
 1.037	 0.247	-0.988	-0.197
 1.018	 0.246	-0.969	-0.190
 1.021	 0.231	-0.978	-0.185
 1.041	 0.230	-0.999	-0.180
 1.039	 0.249	-0.993	-0.180
 1.015	 0.232	-0.972	-0.179
 1.025	 0.230	-0.983	-0.176
 1.036	 0.223	-0.997	-0.173
 1.031	 0.235	-0.989	-0.176
 1.021	 0.240	-0.976	-0.182
 1.024	 0.223	-0.985	-0.174
 1.032	 0.227	-0.989	-0.190
 1.040	 0.242	-0.992	-0.194
 1.026	 0.231	-0.982	-0.187
 1.034	 0.234	-0.989	-0.190
 1.032	 0.227	-0.990	-0.183
 1.036	 0.234	-0.994	-0.174
 1.023	 0.237	-0.980	-0.175
 1.031	 0.234	-0.990	-0.171
 1.037	 0.234	-0.996	-0.170
 1.029	 0.234	-0.986	-0.176
 1.026	 0.233	-0.983	-0.176
 1.024	 0.236	-0.982	-0.170
 1.029	 0.232	-0.985	-0.185
 1.022	 0.231	-0.979	-0.181
 1.030	 0.234	-0.986	-0.183
 1.027	 0.234	-0.985	-0.176
 1.031	 0.244	-0.986	-0.179
 1.029	 0.240	-0.985	-0.179
 1.027	 0.237	-0.985	-0.170
 1.023	 0.234	-0.981	-0.174
 1.029	 0.238	-0.987	-0.171
 1.030	 0.237	-0.988	-0.170
 1.032	 0.233	-0.988	-0.183
 1.029	 0.239	-0.986	-0.170
 1.025	 0.231	-0.983	-0.178
 1.028	 0.233	-0.984	-0.186
 1.030	 0.238	-0.985	-0.184
 1.027	 0.233	-0.983	-0.183
 1.032	 0.235	-0.989	-0.178
 1.034	 0.238	-0.990	-0.182
 1.028	 0.234	-0.987	-0.168
 1.026	 0.234	-0.983	-0.175
 1.036	 0.229	-0.995	-0.178
 1.034	 0.240	-0.990	-0.180
 1.015	 0.222	-0.971	-0.194
 1.077	 0.241	-1.037	-0.167
 0.969	 0.256	-0.918	-0.179
 1.059	 0.202	-1.022	-0.191
 1.019	 0.251	-0.976	-0.152
 1.038	 0.226	-0.995	-0.191
 1.025	 0.234	-0.982	-0.178
 1.026	 0.243	-0.982	-0.170
 1.034	 0.220	-0.994	-0.182
 1.026	 0.238	-0.981	-0.184
 1.020	 0.236	-0.975	-0.184
 1.029	 0.229	-0.986	-0.184
 1.030	 0.239	-0.985	-0.181
 1.036	 0.238	-0.993	-0.173
 1.013	 0.229	-0.971	-0.178
 1.029	 0.235	-0.988	-0.165
 1.016	 0.235	-0.975	-0.161
 1.028	 0.228	-0.987	-0.173
 1.023	 0.248	-0.979	-0.161
 1.026	 0.231	-0.984	-0.172
 1.020	 0.238	-0.977	-0.174
 1.033	 0.236	-0.987	-0.194
 1.027	 0.236	-0.982	-0.187
 1.033	 0.240	-0.988	-0.184
 1.034	 0.233	-0.993	-0.172
 1.033	 0.232	-0.989	-0.191
 1.024	 0.231	-0.983	-0.174
 1.026	 0.231	-0.984	-0.177
 1.033	 0.229	-0.994	-0.164
 1.027	 0.233	-0.986	-0.168
 1.030	 0.229	-0.989	-0.172
 1.029	 0.240	-0.985	-0.175
 1.027	 0.234	-0.983	-0.186
 1.030	 0.233	-0.986	-0.187
 1.036	 0.236	-0.991	-0.187
 1.034	 0.239	-0.990	-0.177
 1.025	 0.231	-0.982	-0.183
 1.026	 0.228	-0.984	-0.181
 1.024	 0.233	-0.982	-0.174
 1.024	 0.231	-0.982	-0.174
 1.030	 0.236	-0.988	-0.171
 1.033	 0.233	-0.990	-0.177
 1.026	 0.229	-0.985	-0.169
 1.028	 0.235	-0.985	-0.177
 1.026	 0.234	-0.983	-0.179
 1.027	 0.232	-0.984	-0.180
 1.026	 0.230	-0.983	-0.184
 1.032	 0.240	-0.988	-0.179
 1.026	 0.236	-0.982	-0.183
 1.033	 0.236	-0.990	-0.179
 1.026	 0.232	-0.982	-0.182
 1.023	 0.241	-0.979	-0.175
 1.021	 0.237	-0.979	-0.166
 1.023	 0.240	-0.978	-0.177
 1.053	 0.229	-1.013	-0.177
